epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.445,1.13142,2.04205,1.1147,0.57257,0.42213,0.469,0.35723,0.85088,2.67395,0.92526,0.00054,0.00054,0.00054
2,322.124,0.98475,1.35804,1.02924,0.95455,0.68853,0.88786,0.68546,0.82147,1.87318,0.89994,0.00109637,0.00109637,0.00109637
3,445.152,1.0043,1.19336,1.02158,0.92841,0.74404,0.88156,0.64975,0.87325,1.55265,0.95211,0.00164904,0.00164904,0.00164904
4,571.994,0.95819,1.1184,0.99464,0.89497,0.85246,0.91521,0.71082,0.77467,1.26952,0.88994,0.0019802,0.0019802,0.0019802
5,701.544,0.93134,1.08252,1.01001,0.82423,0.82377,0.88054,0.66612,0.81839,1.12388,0.95677,0.0019736,0.0019736,0.0019736
6,831.858,0.89205,1.00608,0.99796,0.77434,0.81567,0.87967,0.68779,0.77807,1.1346,0.94179,0.001967,0.001967,0.001967
7,961.878,0.88439,0.98772,1.01261,0.75511,0.7418,0.80901,0.60638,0.74194,1.1134,0.93484,0.0019604,0.0019604,0.0019604
8,1089.56,0.86003,0.91197,0.98654,0.87696,0.78279,0.88579,0.7165,0.76449,0.91213,0.97634,0.0019538,0.0019538,0.0019538
9,1216.7,0.82748,0.88807,0.98478,0.98692,0.92792,0.97688,0.8182,0.61421,0.71351,0.86843,0.0019472,0.0019472,0.0019472
10,1345.38,0.80904,0.84875,0.96205,0.95876,0.85744,0.94768,0.78581,0.65365,0.72659,0.89318,0.0019406,0.0019406,0.0019406
11,1474.79,0.80523,0.80209,0.97065,0.95341,0.92262,0.97308,0.80822,0.59566,0.671,0.85924,0.001934,0.001934,0.001934
12,1601.87,0.75696,0.81372,0.95198,0.94826,0.93033,0.96969,0.82775,0.55451,0.66578,0.85449,0.0019274,0.0019274,0.0019274
13,1729.72,0.78788,0.82245,0.94628,0.94609,0.93493,0.9694,0.80936,0.58087,0.61748,0.85143,0.0019208,0.0019208,0.0019208
14,1859.09,0.76879,0.76101,0.95218,0.9303,0.92988,0.9738,0.82105,0.62102,0.62683,0.86762,0.0019142,0.0019142,0.0019142
15,2126.54,0.75987,0.78813,0.9597,0.92041,0.90055,0.96459,0.8435,0.54196,0.61995,0.86666,0.0019076,0.0019076,0.0019076
16,2386.41,0.75273,0.75185,0.95098,0.95025,0.93938,0.98319,0.85134,0.59159,0.58996,0.85998,0.001901,0.001901,0.001901
17,2658.49,0.74172,0.73869,0.94854,0.92281,0.91393,0.97155,0.79027,0.66963,0.6797,0.89244,0.0018944,0.0018944,0.0018944
18,2935.68,0.77055,0.77864,0.9687,0.77097,0.28973,0.52817,0.33057,1.31312,2.39662,1.3304,0.0018878,0.0018878,0.0018878
19,3198.81,0.74578,0.70566,0.94713,0.96238,0.94347,0.98365,0.85289,0.53119,0.52256,0.85975,0.0018812,0.0018812,0.0018812
20,3451.36,0.68893,0.67218,0.93808,0.97854,0.93425,0.98676,0.88379,0.50368,0.538,0.84191,0.0018746,0.0018746,0.0018746
21,3685.66,0.70772,0.65714,0.9278,0.963,0.9599,0.98893,0.87484,0.47855,0.49317,0.83158,0.001868,0.001868,0.001868
22,3749.34,0.68959,0.66185,0.93229,0.928,0.95082,0.97983,0.87853,0.47204,0.52875,0.84278,0.0018614,0.0018614,0.0018614
23,3811.66,0.66995,0.61454,0.93726,0.95936,0.92623,0.98166,0.87363,0.47118,0.52568,0.84668,0.0018548,0.0018548,0.0018548
24,3874.61,0.72971,0.64232,0.93273,0.9855,0.93852,0.98233,0.87853,0.48428,0.46396,0.83663,0.0018482,0.0018482,0.0018482
25,3942.9,0.68999,0.63993,0.93125,0.96693,0.93443,0.97213,0.85385,0.51928,0.53568,0.85187,0.0018416,0.0018416,0.0018416
26,4001.74,0.66143,0.61923,0.92571,0.96252,0.84194,0.93695,0.83685,0.47867,0.61088,0.86807,0.001835,0.001835,0.001835
27,4060.39,0.65555,0.58257,0.91807,0.98113,0.90984,0.97762,0.86538,0.4643,0.50679,0.83759,0.0018284,0.0018284,0.0018284
28,4117.95,0.66328,0.59819,0.9268,0.86553,0.85656,0.93107,0.77199,0.58614,0.72798,0.88967,0.0018218,0.0018218,0.0018218
29,4178.44,0.59569,0.56162,0.89495,0.98753,0.97383,0.99284,0.89365,0.44989,0.44074,0.83246,0.0018152,0.0018152,0.0018152
30,4237.15,0.64117,0.5734,0.92176,0.97772,0.94672,0.98929,0.86331,0.49866,0.44622,0.84202,0.0018086,0.0018086,0.0018086
31,4295.71,0.66605,0.56889,0.92377,0.9828,0.95082,0.99176,0.88634,0.46547,0.42384,0.83274,0.001802,0.001802,0.001802
32,4354.14,0.6143,0.55278,0.90753,0.97813,0.92623,0.97995,0.86628,0.48307,0.47766,0.85104,0.0017954,0.0017954,0.0017954
33,4412.96,0.62001,0.52885,0.91126,0.98571,0.94262,0.97431,0.86586,0.47452,0.46019,0.84168,0.0017888,0.0017888,0.0017888
34,4500.33,0.62185,0.55061,0.90497,0.94852,0.83067,0.9299,0.79375,0.55072,0.66936,0.87283,0.0017822,0.0017822,0.0017822
35,4599.45,0.64113,0.57133,0.90724,0.94239,0.92213,0.96896,0.86923,0.46024,0.50801,0.83881,0.0017756,0.0017756,0.0017756
36,4696.74,0.65266,0.58264,0.92979,0.96223,0.94262,0.97425,0.87445,0.48301,0.46597,0.83857,0.001769,0.001769,0.001769
37,4788.62,0.65183,0.57571,0.92168,0.94883,0.94262,0.98206,0.86431,0.49177,0.47304,0.84676,0.0017624,0.0017624,0.0017624
38,4881.87,0.63659,0.53787,0.91328,0.93676,0.97126,0.97417,0.87047,0.4559,0.4495,0.83274,0.0017558,0.0017558,0.0017558
39,4979.7,0.62048,0.53442,0.9089,0.92654,0.94672,0.98,0.88378,0.43251,0.44487,0.83232,0.0017492,0.0017492,0.0017492
40,5075.14,0.62985,0.53442,0.92381,0.93125,0.93443,0.98049,0.88117,0.44668,0.44998,0.82753,0.0017426,0.0017426,0.0017426
41,5173.73,0.63989,0.54461,0.91453,0.98231,0.93852,0.98621,0.88687,0.43432,0.43935,0.83123,0.001736,0.001736,0.001736
42,5274.36,0.57374,0.51882,0.89384,0.9754,0.95492,0.98907,0.90312,0.41787,0.39619,0.8294,0.0017294,0.0017294,0.0017294
43,5374.6,0.60052,0.52334,0.90721,0.98594,0.95492,0.99042,0.90146,0.44153,0.38954,0.82872,0.0017228,0.0017228,0.0017228
44,5475.99,0.60555,0.49838,0.89639,0.99086,0.95492,0.98943,0.90154,0.42033,0.4021,0.81872,0.0017162,0.0017162,0.0017162
45,5575.93,0.56791,0.48792,0.8988,0.98321,0.95991,0.9903,0.90382,0.41689,0.36737,0.82694,0.0017096,0.0017096,0.0017096
46,5675.36,0.5606,0.47726,0.87664,0.98757,0.95902,0.99278,0.9081,0.41467,0.37488,0.82624,0.001703,0.001703,0.001703
47,5778,0.58256,0.48004,0.90262,0.98332,0.96669,0.99199,0.91555,0.39758,0.36309,0.81848,0.0016964,0.0016964,0.0016964
48,5875.45,0.59314,0.4918,0.91097,0.9904,0.95082,0.98833,0.91144,0.41591,0.3748,0.82333,0.0016898,0.0016898,0.0016898
49,5976.31,0.59497,0.48555,0.89469,0.9759,0.96721,0.993,0.9258,0.39618,0.36585,0.8208,0.0016832,0.0016832,0.0016832
50,6074.98,0.61876,0.49968,0.91217,0.96894,0.96311,0.99179,0.91653,0.40588,0.37485,0.82006,0.0016766,0.0016766,0.0016766
51,6177.18,0.56523,0.47484,0.89884,0.96718,0.96629,0.99157,0.92097,0.39193,0.36427,0.8175,0.00167,0.00167,0.00167
52,6274.52,0.56248,0.48062,0.89972,0.96966,0.98361,0.99176,0.90082,0.42753,0.37393,0.84145,0.0016634,0.0016634,0.0016634
