epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8031,1.88767,3.30932,1.60707,0.01375,0.86842,0.29336,0.20524,1.13295,3.04165,1.07015,8e-05,8e-05,8e-05
2,28.4556,1.36463,2.7656,1.23924,0.01583,1,0.37946,0.25366,1.14283,2.95154,1.03014,0.000176436,0.000176436,0.000176436
3,47.2345,1.19449,2.09342,1.15064,0.01583,1,0.39713,0.25368,1.16676,2.85208,1.0587,0.000268912,0.000268912,0.000268912
4,66.4522,1.3647,1.78735,1.15477,0.69773,0.42537,0.47385,0.33231,1.12598,2.45787,1.01404,0.000357428,0.000357428,0.000357428
5,85.613,1.14675,1.38163,1.08367,0.69949,0.42105,0.5004,0.34501,1.12134,2.17206,1.00075,0.000441984,0.000441984,0.000441984
6,104.424,0.9704,1.34374,1.03867,0.75006,0.39474,0.54741,0.35754,1.12971,2.00506,1.00517,0.00052258,0.00052258,0.00052258
7,123.436,1.06081,1.249,1.0543,0.53619,0.44737,0.54909,0.40155,1.05026,1.94255,0.94326,0.000599216,0.000599216,0.000599216
8,142.345,1.03611,1.14771,1.00761,0.55184,0.42105,0.50863,0.32559,1.18523,2.09106,0.9622,0.000671892,0.000671892,0.000671892
9,160.635,1.10366,1.21686,1.04097,0.7889,0.5,0.65735,0.46812,1.10418,1.93278,0.95119,0.000740608,0.000740608,0.000740608
10,179.005,1.02081,1.1531,1.04989,0.89377,0.47368,0.70363,0.50795,1.01445,2.07045,0.93481,0.000805364,0.000805364,0.000805364
11,197.579,1.04205,1.04171,1.02186,0.71183,0.5,0.76417,0.49286,1.11151,1.96955,0.95478,0.00086616,0.00086616,0.00086616
12,213.567,1.09081,1.15449,0.99759,0.86285,0.63158,0.84622,0.52524,1.18401,1.86453,1.0158,0.000922996,0.000922996,0.000922996
13,223.823,1.11443,1.12007,1.04678,0.85188,0.78947,0.8834,0.5803,1.18481,1.66464,1.04363,0.000975872,0.000975872,0.000975872
14,234.656,1.20735,1.23682,1.14131,0.85188,0.78947,0.8834,0.5803,1.18481,1.66464,1.04363,0.00102479,0.00102479,0.00102479
15,245.104,1.07958,1.06504,1.05798,0.78483,0.71053,0.78985,0.45561,1.38875,1.81132,1.15777,0.00106974,0.00106974,0.00106974
16,255.522,1.08153,1.1991,1.05604,0.63626,0.55263,0.62721,0.32588,1.48651,2.10927,1.2421,0.00111074,0.00111074,0.00111074
17,266.809,1.10407,1.13143,1.09345,0.51189,0.60526,0.6225,0.35257,1.30906,1.99399,1.17918,0.00114778,0.00114778,0.00114778
18,284.513,0.93145,1.05498,1.00535,0.51189,0.60526,0.6225,0.35257,1.30906,1.99399,1.17918,0.00118085,0.00118085,0.00118085
19,297.407,1.00024,1.099,1.00535,0.58506,0.66802,0.68384,0.40844,1.25231,1.92659,1.12704,0.00120997,0.00120997,0.00120997
20,310.732,0.96988,1.22484,1.02694,0.65689,0.68421,0.74522,0.45129,1.23661,1.7266,1.09644,0.00123512,0.00123512,0.00123512
21,326.071,0.88284,0.97887,0.98759,0.65689,0.68421,0.74522,0.45129,1.23661,1.7266,1.09644,0.001208,0.001208,0.001208
22,340.035,0.9801,1.13142,1.00588,0.8423,0.73684,0.86537,0.5991,1.07081,1.44623,1.016,0.0011684,0.0011684,0.0011684
23,358.552,0.90119,0.98644,1.02209,0.79429,0.76316,0.88127,0.59702,1.00383,1.29654,1.00475,0.0011288,0.0011288,0.0011288
24,372.937,1.08389,1.12592,1.07216,0.79429,0.76316,0.88127,0.59702,1.00383,1.29654,1.00475,0.0010892,0.0010892,0.0010892
25,383.031,1.08734,1.00896,1.05114,0.87359,0.78947,0.88984,0.65196,0.97263,1.29076,0.99474,0.0010496,0.0010496,0.0010496
26,392.773,1.0157,1.01477,1.00851,0.87359,0.78947,0.88984,0.65196,0.97263,1.29076,0.99474,0.00101,0.00101,0.00101
27,402.596,0.90975,0.92174,0.95782,0.92328,0.73684,0.89716,0.63657,0.9678,1.18703,0.99853,0.0009704,0.0009704,0.0009704
28,418.016,0.95459,0.92245,0.99725,0.85552,0.81579,0.8944,0.6512,0.92067,1.12386,0.97386,0.0009308,0.0009308,0.0009308
